host,ID,ra,dec,re
NGC5485,MATLAS-1702,210.982,55.0295,3.34
NGC5485,MATLAS-1704,211.104,55.1038,7.77
NGC5485,MATLAS-1708,211.326,54.8977,7.32
NGC5485,MATLAS-1710,211.387,54.4603,-99.99
NGC5485,MATLAS-1712,211.412,55.1364,3.85
NGC5485,MATLAS-1715,211.538,55.2242,-99.99
NGC5485,MATLAS-1718,211.559,54.6876,-99.99
NGC5485,MATLAS-1719,211.574,55.2736,5.27
NGC5485,MATLAS-1723,211.701,55.4024,-99.99
NGC5485,MATLAS-1725,211.722,54.7774,3.1
NGC5485,MATLAS-1727,211.777,54.9774,-99.99
NGC5485,MATLAS-1729,211.813,54.8308,4.39
NGC5485,MATLAS-1730,211.838,55.064,5.33
NGC5485,MATLAS-1732,211.865,55.2045,3.73
NGC5485,MATLAS-1733,211.866,54.6237,3.25
NGC5485,MATLAS-1734,211.869,55.0837,-99.99
NGC5485,MATLAS-1736,211.888,55.5566,4.19
NGC5485,MATLAS-1738,211.9,54.8744,-99.99
NGC5485,MATLAS-1741,211.924,54.5887,5.59
NGC5485,MATLAS-1746,211.978,54.7036,-99.99
NGC5485,MATLAS-1748,212.039,55.1856,5.25
NGC5485,MATLAS-1749,212.091,55.4796,3.21
NGC5485,MATLAS-1750,212.111,54.9092,-99.99
NGC5485,MATLAS-1751,212.128,54.8802,5.15
NGC5485,MATLAS-1752,212.141,55.4471,4.82
NGC5485,MATLAS-1753,212.158,54.5374,4.38
NGC5485,MATLAS-1754,212.182,55.1671,9.16
NGC5485,MATLAS-1755,212.191,55.287,6.09
NGC5485,MATLAS-1756,212.193,55.0837,3.87
NGC5485,MATLAS-1757,212.205,54.8561,6.34
NGC5485,MATLAS-1758,212.232,55.0222,6.22
NGC5485,MATLAS-1760,212.257,55.4688,2.61
NGC5485,MATLAS-1761,212.258,54.8627,6.72
NGC5485,MATLAS-1762,212.262,55.4256,2.81
NGC5485,MATLAS-1763,212.287,54.6445,-99.99
NGC5485,MATLAS-1764,212.32,55.0348,3.43
NGC5485,MATLAS-1765,212.341,55.3041,4.1
NGC5485,MATLAS-1770,212.519,54.4422,3.98
NGC5485,MATLAS-1771,212.528,54.8022,2.68
NGC5485,MATLAS-1772,212.551,55.3731,5.55
NGC5485,MATLAS-1773,212.554,54.4463,4.72
NGC5485,MATLAS-1774,212.584,54.7639,5.5
NGC5485,MATLAS-1776,212.616,54.5789,3.79
NGC5485,[MVA2014] DF 4,211.89083,54.71089,28.0
NGC5485,[MVA2014] DF 6,212.07792,55.19183,22.0
NGC5485,[MVA2014] DF 7,211.44792,55.13258,20.0
