host,ID,ra,dec,morph,re,z
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,
NGC253,NGC247,11.7834,-20.757,,247.88278667611021,
NGC253,dw0047m2623,11.8939,-26.3898,,26.298762796504782,
NGC253,dw0049m2100,12.4537,-21.0167,,36.33389325773992,
NGC253,dw0050m2444,12.5749,-24.7367,,89.1805589257109,
NGC253,dw0055m2309,13.7538,-23.1688,,16.17092905156309,
NGC253,dw0036m2828,9.1273,-28.4701,,18.05975845708425,
NGC628,dw0132p1422,23.2486,14.3736,,15.103566262965478,
NGC628,dw0133p1543,23.4842,15.7314,,4.526425226138941,
NGC628,dw0134p1544,23.5537,15.7463,,22.760909684236903,
NGC628,dw0134p1438,23.6741,14.6444,,10.51169365715755,
NGC628,dw0136p1628,24.0842,16.4701,,7.108429914370251,
NGC628,dw0138p1458,24.5024,14.9825,,7.37866425622929,
NGC628,UGC1171,24.9366,15.8993,,17.744684713478453,
NGC628,dw0139p1433,24.9611,14.5563,,5.465911805258265,
NGC628,dw0140p1556,25.0395,15.9394,,9.48987005200305,
NGC628,UGC1176,25.043,15.9054,,49.628114641253774,
NGC628,dw0143p1541,25.9012,15.6937,,30.35069452004357,
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,
NGC891,dw0221p4221,35.301,42.364,,11.60239535139917,
NGC891,UGC1807,35.3058,42.7629,,36.580339651760276,
NGC891,dw0222p4242,35.7298,42.7123,,25.74239062175933,
NGC891,dw0223p4314,35.8921,43.2395,,4.378603781736606,
NGC891,dw0224p4158,36.0968,41.9747,,3.7453346397499074,
NGC891,dw0225p4153,36.3192,41.8915,,3.964717163938158,
NGC891,dw0226p4206,36.669,42.1111,,3.3992982871643185,
NGC1023,dw0235p3850,38.976,38.8362,,10.56710468927432,
NGC1023,IC239,39.1162,38.969,,,
NGC1023,dw0237p3855,39.3276,38.9331,,18.36946764865968,
NGC1023,dw0237p3836,39.4144,38.6003,,10.866585321421548,
NGC1023,dw0239p3903,39.8432,39.0554,,6.654023316913542,
NGC1023,UGC2157,40.1044,38.563,,30.144411443746325,
NGC1023,dw0240p3903,40.1544,39.0593,,40.606400414452416,
NGC1023,dw0240p3922,40.1649,39.3792,,12.7368517857582,
NGC1023,dw0241p3904,40.2512,39.0727,,19.44839125056757,
