host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,,"(246, 289)",4120.276396012283,9087.340521854443,"['u', 'g', 'r', 'i', 'z']",5,0
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,,"(239, 291)",3492.105869601455,7263.024499588791,"['u', 'g', 'r', 'i', 'z']",5,0
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,,"(243, 290)",2244.0341953593047,8722.400178895885,"['u', 'g', 'r', 'i', 'z']",5,0
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,,"(243, 290)",9219.451933662118,7580.774125962493,"['u', 'g', 'r', 'i', 'z']",5,0
NGC253,NGC247,11.7834,-20.757,,247.8827866761102,,,,,,0,0
NGC253,dw0047m2623,11.8939,-26.3898,,26.298762796504786,,,,,,0,0
NGC253,dw0049m2100,12.4537,-21.0167,,36.33389325773992,,,,,,0,0
NGC253,dw0050m2444,12.5749,-24.7367,,89.1805589257109,,,,,,0,0
NGC253,dw0055m2309,13.7538,-23.1688,,16.17092905156309,,,,,,0,0
NGC253,dw0036m2828,9.1273,-28.4701,,18.05975845708425,,,,,,0,0
NGC628,dw0132p1422,23.2486,14.3736,,15.103566262965478,,"(45, 209)",4843.382306286697,2550.497844463381,['u'],1,0
NGC628,dw0133p1543,23.4842,15.7314,,4.526425226138941,,"(45, 211)",2481.8044764420083,9485.120940611785,['u'],1,0
NGC628,dw0134p1544,23.5537,15.7463,,22.760909684236903,,"(45, 212)",2258.8600911884946,84.4788136716079,['u'],1,0
NGC628,dw0134p1438,23.6741,14.6444,,10.51169365715755,,"(46, 209)",6548.841776388086,7798.610566145584,['u'],1,0
NGC628,dw0136p1628,24.0842,16.4701,,7.108429914370251,,"(46, 213)",3208.9841727007656,4420.995991063642,['u'],1,0
NGC628,dw0138p1458,24.5024,14.9825,,7.37866425622929,,"(47, 210)",1753.7302870753902,4662.138133438091,['u'],1,0
NGC628,UGC1171,24.9366,15.8993,,17.744684713478453,,"(48, 212)",5570.059600459842,3048.5780290620605,['u'],1,0
NGC628,dw0139p1433,24.9611,14.5563,,5.465911805258265,,"(48, 209)",1783.3183115107058,6092.245902424662,['u'],1,0
NGC628,dw0140p1556,25.0395,15.9394,,9.48987005200305,,"(48, 212)",3652.515734326388,3825.867881459294,['u'],1,0
NGC628,UGC1176,25.043,15.9054,,49.628114641253774,,"(48, 212)",3587.0566590684552,3167.004549889572,['u'],1,0
NGC628,dw0143p1541,25.9012,15.6937,,30.35069452004357,,"(50, 211)",5790.209137814729,8753.798576177534,['u'],1,0
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,,"(49, 214)",8748.817115703432,2523.345819919906,['u'],1,0
NGC891,dw0221p4221,35.301,42.364,,11.60239535139917,,,,,,0,0
NGC891,UGC1807,35.3058,42.7629,,36.58033965176028,,,,,,0,0
NGC891,dw0222p4242,35.7298,42.7123,,25.74239062175933,,,,,,0,0
NGC891,dw0223p4314,35.8921,43.2395,,4.378603781736606,,,,,,0,0
NGC891,dw0224p4158,36.0968,41.9747,,3.745334639749907,,,,,,0,0
NGC891,dw0225p4153,36.3192,41.8915,,3.964717163938158,,,,,,0,0
NGC891,dw0226p4206,36.669,42.1111,,3.3992982871643185,,,,,,0,0
NGC1023,dw0235p3850,38.976,38.8362,,10.56710468927432,,,,,,0,0
NGC1023,IC239,39.1162,38.969,,,,,,,,0,0
NGC1023,dw0237p3855,39.3276,38.9331,,18.36946764865968,,,,,,0,0
NGC1023,dw0237p3836,39.4144,38.6003,,10.866585321421548,,,,,,0,0
NGC1023,dw0239p3903,39.8432,39.0554,,6.654023316913542,,,,,,0,0
NGC1023,UGC2157,40.1044,38.563,,30.144411443746325,,,,,,0,0
NGC1023,dw0240p3903,40.1544,39.0593,,40.606400414452416,,,,,,0,0
NGC1023,dw0240p3922,40.1649,39.3792,,12.7368517857582,,,,,,0,0
NGC1023,dw0241p3904,40.2512,39.0727,,19.44839125056757,,,,,,0,0
NGC1023,UGC2165,40.3145,38.7441,,29.44231777632832,,,,,,0,0
NGC1023,dw0238p3805,39.6703,38.0849,,12.191440038470205,,,,,,0,0
NGC1023,dw0241p3829,40.4758,38.4983,,5.168520048845511,,,,,,0,0
