host,ID,ra,dec,morph,re,zspec
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,
NGC253,NGC247,11.7834,-20.757,,247.88278667611,
NGC253,dw0047m2623,11.8939,-26.3898,,26.2987627965048,
NGC253,dw0049m2100,12.4537,-21.0167,,36.3338932577399,
NGC253,dw0050m2444,12.5749,-24.7367,,89.1805589257109,
NGC253,dw0055m2309,13.7538,-23.1688,,16.1709290515631,
NGC253,dw0036m2828,9.1273,-28.4701,,18.0597584570842,
NGC628,dw0132p1422,23.2486,14.3736,,15.1035662629655,
NGC628,dw0133p1543,23.4842,15.7314,,4.52642522613894,
NGC628,dw0134p1544,23.5537,15.7463,,22.7609096842369,
NGC628,dw0134p1438,23.6741,14.6444,,10.5116936571576,
NGC628,dw0136p1628,24.0842,16.4701,,7.10842991437025,
NGC628,dw0138p1458,24.5024,14.9825,,7.37866425622929,
NGC628,UGC1171,24.9366,15.8993,,17.7446847134785,
NGC628,dw0139p1433,24.9611,14.5563,,5.46591180525827,
NGC628,dw0140p1556,25.0395,15.9394,,9.48987005200305,
NGC628,UGC1176,25.043,15.9054,,49.6281146412538,
NGC628,dw0143p1541,25.9012,15.6937,,30.3506945200436,
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,
NGC891,dw0221p4221,35.301,42.364,,11.6023953513992,
NGC891,UGC1807,35.3058,42.7629,,36.5803396517603,
NGC891,dw0222p4242,35.7298,42.7123,,25.7423906217593,
NGC891,dw0223p4314,35.8921,43.2395,,4.37860378173661,
NGC891,dw0224p4158,36.0968,41.9747,,3.74533463974991,
NGC891,dw0225p4153,36.3192,41.8915,,3.96471716393816,
NGC891,dw0226p4206,36.669,42.1111,,3.39929828716432,
NGC1023,dw0235p3850,38.976,38.8362,,10.5671046892743,
NGC1023,IC239,39.1162,38.969,,,
NGC1023,dw0237p3855,39.3276,38.9331,,18.3694676486597,
NGC1023,dw0237p3836,39.4144,38.6003,,10.8665853214215,
NGC1023,dw0239p3903,39.8432,39.0554,,6.65402331691354,
NGC1023,UGC2157,40.1044,38.563,,30.1444114437463,
NGC1023,dw0240p3903,40.1544,39.0593,,40.6064004144524,
NGC1023,dw0240p3922,40.1649,39.3792,,12.7368517857582,
NGC1023,dw0241p3904,40.2512,39.0727,,19.4483912505676,
