host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC5457,[MVA2014] DF 4,211.89083,54.71089,UDG,28.0,,"(246, 289)",4120.276396012283,9087.340521854443,ugriz,5,1
NGC5457,[MVA2014] DF 5,211.1171,55.6167,UDG,38.0,,"(239, 291)",3492.105869601455,7263.024499588791,ugriz,5,1
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,,"(243, 290)",2244.0341953593047,8722.400178895885,ugriz,5,1
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,,"(243, 290)",9219.451933662118,7580.774125962493,ugriz,5,1
NGC253,NGC247,11.7834,-20.757,,247.88278667611,,,,,,0,0
NGC253,dw0047m2623,11.8939,-26.3898,,26.2987627965048,,,,,,0,0
NGC253,dw0049m2100,12.4537,-21.0167,,36.3338932577399,,,,,,0,0
NGC253,dw0050m2444,12.5749,-24.7367,,89.1805589257109,,,,,,0,0
NGC253,dw0055m2309,13.7538,-23.1688,,16.1709290515631,,,,,,0,0
NGC253,dw0036m2828,9.1273,-28.4701,,18.0597584570842,,,,,,0,0
NGC628,dw0132p1422,23.2486,14.3736,,15.1035662629655,,"(45, 209)",4843.382306286697,2550.497844463381,u,1,1
NGC628,dw0133p1543,23.4842,15.7314,,4.52642522613894,,"(45, 211)",2481.8044764420083,9485.120940611785,u,1,1
NGC628,dw0134p1544,23.5537,15.7463,,22.7609096842369,,"(45, 212)",2258.8600911884946,84.4788136716079,u,1,1
NGC628,dw0134p1438,23.6741,14.6444,,10.5116936571576,,"(46, 209)",6548.841776388086,7798.610566145584,u,1,1
NGC628,dw0136p1628,24.0842,16.4701,,7.10842991437025,,"(46, 213)",3208.9841727007656,4420.995991063642,u,1,1
NGC628,dw0138p1458,24.5024,14.9825,,7.37866425622929,,"(47, 210)",1753.7302870753902,4662.138133438091,u,1,1
NGC628,UGC1171,24.9366,15.8993,,17.7446847134785,,"(48, 212)",5570.059600459842,3048.5780290620605,u,1,1
NGC628,dw0139p1433,24.9611,14.5563,,5.46591180525827,,"(48, 209)",1783.3183115107058,6092.245902424662,u,1,1
NGC628,dw0140p1556,25.0395,15.9394,,9.48987005200305,,"(48, 212)",3652.515734326388,3825.867881459294,u,1,1
NGC628,UGC1176,25.043,15.9054,,49.6281146412538,,"(48, 212)",3587.0566590684552,3167.004549889572,u,1,1
NGC628,dw0143p1541,25.9012,15.6937,,30.3506945200436,,"(50, 211)",5790.209137814729,8753.798576177534,u,1,1
NGC628,dw0141p1651,25.4173,16.8721,,9.99444823719298,,"(49, 214)",8748.817115703432,2523.345819919906,u,1,1
NGC891,dw0221p4221,35.301,42.364,,11.6023953513992,,,,,,0,0
NGC891,UGC1807,35.3058,42.7629,,36.5803396517603,,,,,,0,0
NGC891,dw0222p4242,35.7298,42.7123,,25.7423906217593,,,,,,0,0
NGC891,dw0223p4314,35.8921,43.2395,,4.37860378173661,,,,,,0,0
NGC891,dw0224p4158,36.0968,41.9747,,3.74533463974991,,,,,,0,0
NGC891,dw0225p4153,36.3192,41.8915,,3.96471716393816,,,,,,0,0
NGC891,dw0226p4206,36.669,42.1111,,3.39929828716432,,,,,,0,0
NGC1023,dw0235p3850,38.976,38.8362,,10.5671046892743,,,,,,0,0
NGC1023,IC239,39.1162,38.969,,,,,,,,0,0
NGC1023,dw0237p3855,39.3276,38.9331,,18.3694676486597,,,,,,0,0
