host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
,1011274+581418,152.86427,58.2384,UDG,6.04,,"(162, 296)",4889.861837430533,9619.980432340337,giz,3,1,,,
,1011403+575952,152.9178,57.99787,UDG,5.83,,"(162, 296)",4339.369362971723,4959.037298963,giz,3,1,,,
NGC2481,MATLAS-331,118.8555,23.7373,dE  ,6.99,,"(218, 227)",5045.774420308161,9598.654796496128,u,1,1,2.0,,1.0
NGC2481,MATLAS-333,118.975,23.669,dE  ,0.0,,"(218, 227)",2924.804696041836,8275.904385539174,u,1,1,2.0,,1.0
NGC2481,MATLAS-336,119.1212,23.5653,dE  ,4.97,,"(218, 227)",326.2155060556961,6269.737365471257,u,1,1,2.0,,1.0
,1214429+291508,183.67878,29.25219,UDG,9.35,,"(320, 239)",7605.618456288934,199.3813829195551,uri,3,1,2.0,,1.0
,1215479+291725,183.94949,29.29017,UDG,9.17,,"(320, 239)",3029.2222603205064,934.6749698609838,uri,3,1,2.0,,1.0
,1336350+193950,204.1458,19.66387,UDG,7.42,,"(385, 219)",6233.164810549206,8175.884145489668,u,1,1,,,
,1236219+001404,189.0913,0.23451,UDG,7.01,,"(378, 180)",3230.6991161362926,9544.591926054578,u,1,1,,,
PGC26648,092813+491601,142.0553,49.267,dE,3.47,,"(185, 279)",9721.056535291176,496.33185485572267,gri,3,1,2.0,,1.0
NGC4517,dw1238p0028,189.5586,0.4771,,11.3198323524336,,"(379, 181)",4004.2626774233013,4556.225425455842,u,1,1,2.0,,1.0
,1238466+003009,189.69428,0.50242,UDG,9.86,,"(379, 181)",1375.017196446157,5046.948982113791,u,1,1,,,
,1252402+262603,193.16743,26.43418,UDG,11.99,,"(346, 233)",7478.622789604758,3725.8514289339273,u,1,1,,,
,0952181+272958,148.07538,27.49931,UDG,5.89,,"(263, 235)",8014.109413502283,4988.758115699549,u,1,1,,,
,0924209+253941,141.08699,25.66141,UDG,11.49,,"(255, 231)",8037.62256892816,8129.96308621336,u,1,1,,,
,1200397+212449,180.16535,21.41369,UDG,9.31,,"(335, 223)",2498.494885660374,3328.5054607438387,u,1,1,,,
,71,179.9558,21.4489,,12.15,0.0065772803500294685,"(335, 223)",6278.729061651228,4010.0239826936304,u,1,1,2.0,,
,0107381+210959,16.90877,21.16629,UDG,6.85,,"(32, 222)",9148.366793691297,8225.537485010605,u,1,1,,,
,0917348+332808,139.39516,33.46891,UDG,5.36,,"(232, 247)",354.1889463175594,4403.933498934851,ugri,4,1,,,
,1258011+271127,194.50459,27.1907,UDG,8.46,0.02599131502211094,"(347, 234)",8775.236119882315,8698.8791458219,u,1,1,2.0,,
,1258276+270600,194.61486,27.09974,UDG,6.59,,"(347, 234)",6875.9646287385585,6933.670750462153,u,1,1,,,
,1116530+541941,169.22098,54.32803,UDG,5.4,,"(197, 289)",9531.900375565849,1680.273785605721,ugriz,5,1,,,
PGC50191,140942+563231,212.425,56.542,dE,6.02,0.005768602713942528,"(234, 293)",253.27174027635374,5829.270465343874,ugriz,5,1,2.0,,1.0
,1042311+830933,160.62969,83.15925,UDG,12.12,,"(39, 346)",3563.693162084861,8093.8520382564,ur,2,1,,,
PGC42595,124257+740945,190.7397,74.1627,dE,6.94,,"(105, 328)",3561.2331694108852,8156.251956758064,gri,3,1,2.0,,1.0
PGC42595,124257+740945,190.7405,74.1627,dE,6.45,0.00966500025242567,"(105, 328)",3557.002271702573,8156.27131167676,gri,3,1,2.0,,1.0
,1239192+740344,189.82999,74.0622,UDG,8.21,,"(105, 328)",8393.16509764144,6223.528187420059,gri,3,1,2.0,,1.0
