ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
000033+165423,0.1392,16.9065,18.58,-12.75,24.58,0.52,6.33,9.9999,0,ND,2,PGC218
000044+152725,0.1855,15.4572,19.52,-11.81,26.1,0.68,8.25,9.9999,0,ND,2,PGC218
000222+160140,0.5929,16.0279,19.56,-11.77,24.16,0.27,3.31,9.9999,0,ND,2,PGC218
000248+163546,0.7041,16.5962,19.21,-12.12,25.41,0.57,6.94,9.9999,1,ND,2,PGC218
000250+163742,0.7105,16.6284,19.38,-11.94,26.52,0.88,10.67,9.9999,1,ND,2,PGC218
000306+161829,0.7791,16.3083,18.27,-13.06,26.3,1.34,16.13,9.9999,0,ND,2,PGC218
000324+161111,0.8508,16.1865,18.54,-12.79,25.79,0.93,11.23,9.9999,0,ND,2,PGC218
000417+204430,1.0715,20.7419,18.48,-14.5,24.24,0.99,5.66,9.9999,1,ND,3,PGC279
000844+143529,2.1856,14.5916,16.65,-14.68,24.04,0.99,11.97,9.9999,1,ND,2,PGC218
001746+113147,4.442,11.5299,20.37,-11.45,26.57,0.65,6.95,9.9999,0,ND,3,PGC1160
002922-332302,7.3456,-33.3839,21.22,-10.07,26.47,0.38,4.48,9.9999,0,ND,2,PGC1851
003102-331613,7.7622,-33.2705,15.97,-15.32,23.68,1.18,13.95,9.9999,1,SP,2,PGC1851
003155-331600,7.9815,-33.2668,16.65,-14.64,24.28,1.14,13.41,9.9999,0,TS,2,PGC1851
003258-324548,8.2426,-32.7636,18.15,-13.14,24.61,0.66,7.82,9.9999,1,ND,2,PGC1851
003351-275024,8.4651,-27.8401,17.33,-14.52,25.77,2.16,19.46,9.9999,0,UD,3,PGC2052
003414-081008,8.5585,-8.1691,16.66,-15.52,23.29,1.04,8.48,9.9999,0,ND,3,PGC2081
003506-280306,8.7789,-28.0518,17.53,-14.31,25.11,1.45,13.09,9.9999,0,ND,3,PGC2052
003637-082457,9.1542,-8.416,20.12,-12.06,25.94,0.71,5.82,9.9999,0,ND,3,PGC2081
004103-210808,10.2636,-21.1356,19.49,-12.38,24.17,0.38,3.44,9.9999,1,ND,3,PGC2478
004434-314204,11.1453,-31.7013,21.12,-10.51,24.98,0.23,2.36,9.9999,0,ND,2,PGC2778
004643-313058,11.6808,-31.5163,19.2,-12.44,25.14,0.61,6.15,9.9999,0,ND,2,PGC2778
005124-065818,12.8526,-6.9719,20.9,-11.38,25.65,0.45,3.55,9.9999,0,ND,3,PGC2980
005236-310921,13.1524,-31.1561,16.15,-15.22,22.68,0.71,8.09,9.9999,0,BC,2,PGC3089
005249-305753,13.2051,-30.9648,20.11,-11.25,24.95,0.32,3.7,9.9999,0,ND,2,PGC3089
005733-040804,14.3901,-4.1345,19.64,-13.43,25.23,0.97,5.25,9.9999,0,ND,3,PGC3429
005914-075715,14.8103,-7.9544,19.73,-12.63,25.49,0.68,5.67,9.9999,0,ND,3,PGC3572
005916-073511,14.8192,-7.5867,19.92,-12.44,24.77,0.45,3.72,9.9999,1,ND,3,PGC3572
005949-071341,14.9559,-7.2281,20.37,-11.99,25.37,0.48,3.99,9.9999,1,ND,3,PGC3572
010149-073750,15.4583,-7.6308,18.69,-13.67,25.45,1.08,8.95,9.9999,1,ND,3,PGC3572
010339-061053,15.9145,-6.1814,18.81,-14.35,24.99,1.18,6.85,9.9999,1,ND,3,PGC3768
010528-060513,16.3697,-6.087,20.45,-11.13,25.46,0.32,4.0,9.9999,0,ND,3,PGC3853
011231-020021,18.1301,-2.006,19.49,-13.07,24.72,0.63,4.43,9.9999,0,ND,2,PGC4524
011258-060547,18.2435,-6.0967,20.18,-12.87,25.97,0.91,5.75,9.9999,0,ND,3,PGC144017
011301-060220,18.2577,-6.039,20.47,-12.58,25.48,0.63,4.0,9.9999,0,ND,3,PGC144017
011357-014238,18.49,-1.7108,20.22,-12.34,26.97,1.28,8.92,9.9999,0,ND,2,PGC4524
011442-010550,18.6779,-1.0974,20.53,-12.03,24.54,0.36,2.52,9.9999,2,ND,2,PGC4524
011445-011430,18.6876,-1.2417,19.97,-12.59,24.19,0.4,2.78,9.9999,0,ND,2,PGC4524
011452-010543,18.7193,-1.0954,16.88,-15.68,22.36,0.71,4.98,0.0072,2,BC,2,PGC4524
011501-012850,18.7568,-1.4807,19.93,-12.63,25.57,0.77,5.37,9.9999,1,ND,2,PGC4524
011510-012818,18.795,-1.4719,17.27,-15.29,22.04,0.51,3.58,9.9999,1,ND,2,PGC4524
011516-013457,18.8185,-1.5826,16.02,-16.54,22.72,1.26,8.76,9.9999,1,HD,2,PGC4524
011638-013649,19.162,-1.6136,20.32,-12.24,25.97,0.77,5.39,9.9999,0,ND,2,PGC4524
011809-013431,19.5404,-1.5755,20.79,-11.77,25.09,0.41,2.88,9.9999,0,ND,2,PGC4524
011813+042329,19.5551,4.3914,19.63,-12.84,24.54,0.54,3.84,9.9999,0,ND,2,PGC4801
011820+032558,19.5845,3.433,20.5,-11.97,25.28,0.51,3.6,9.9999,0,ND,2,PGC4801
011923+031423,19.8488,3.2399,19.25,-13.22,24.91,0.77,5.43,9.9999,0,ND,2,PGC4801
011926+032134,19.859,3.3596,20.13,-12.34,25.06,0.55,3.86,9.9999,1,ND,2,PGC4801
011936+033129,19.9013,3.5248,20.57,-11.9,24.64,0.37,2.6,9.9999,2,ND,2,PGC4801
011943+031446,19.9305,3.2463,20.64,-11.82,25.43,0.51,3.62,9.9999,0,ND,2,PGC4801
012014+033659,20.0624,3.6166,20.1,-12.36,24.89,0.51,3.61,9.9999,0,ND,2,PGC4801
012015+031325,20.0633,3.2237,17.57,-14.89,21.21,0.3,2.14,9.9999,2,ND,2,PGC4801
012028+033632,20.1188,3.609,20.56,-11.9,26.14,0.74,5.21,9.9999,0,ND,2,PGC4801
012028+061407,20.1198,6.2354,19.52,-12.91,24.48,0.55,3.91,9.9999,1,ND,2,PGC4946
012035+051702,20.1465,5.284,17.38,-15.05,24.12,1.26,8.88,9.9999,1,ND,2,PGC4946
012101+060009,20.2582,6.0026,19.54,-12.89,24.45,0.54,3.83,9.9999,0,ND,2,PGC4946
012105+054542,20.2714,5.7618,15.71,-16.72,22.38,1.22,8.59,9.9999,2,ND,2,PGC4946
012106+083954,20.2759,8.6652,18.04,-14.28,23.59,0.64,5.14,9.9999,0,ND,2,PGC5222
012108+173607,20.2851,17.6022,17.81,-15.43,23.35,0.94,5.11,9.9999,1,ND,3,PGC4948
012127+091048,20.3639,9.18,16.18,-16.14,22.75,1.02,8.23,0.0073,1,ND,2,PGC5222
012132+034016,20.385,3.6713,20.64,-11.83,26.02,0.67,4.75,9.9999,0,ND,2,PGC4801
012134+054207,20.3926,5.7022,17.49,-14.94,23.65,0.96,6.8,9.9999,0,ND,2,PGC4946
012135+033348,20.3963,3.5634,20.07,-12.39,24.49,0.43,3.05,9.9999,2,ND,2,PGC4801
012138+173328,20.4115,17.558,18.71,-14.53,23.39,0.63,3.44,9.9999,0,ND,3,PGC4948
012158+173434,20.4941,17.5762,18.88,-14.36,26.0,1.96,10.6,9.9999,0,UD,3,PGC4948
012158+035815,20.4946,3.9711,19.99,-12.48,24.45,0.44,3.11,9.9999,0,ND,2,PGC4801
012202+052201,20.512,5.3671,14.9,-17.53,20.34,0.69,4.87,0.0079,2,ND,2,PGC4946
012204+085811,20.5175,8.9699,19.54,-12.78,24.65,0.52,4.2,9.9999,0,ND,2,PGC5222
012212+051308,20.5526,5.2191,20.33,-12.1,27.25,1.36,9.63,9.9999,0,ND,2,PGC4946
012230+084706,20.6259,8.7852,20.13,-12.19,24.36,0.34,2.8,9.9999,0,ND,2,PGC5222
012230+084539,20.6265,8.7609,17.3,-15.02,25.34,2.01,16.13,9.9999,0,UD,2,PGC5222
012231+091652,20.6325,9.2814,15.42,-16.91,21.27,0.73,5.91,0.0093,2,BC,2,PGC5222
012232+050816,20.6364,5.138,16.35,-16.08,23.25,1.35,9.56,9.9999,2,ND,2,PGC4946
012238+053707,20.6615,5.6187,20.44,-11.99,25.94,0.71,5.02,9.9999,1,ND,2,PGC4946
012243+092505,20.6799,9.4182,17.7,-14.62,23.49,0.71,5.75,9.9999,1,ND,2,PGC5222
012247+090609,20.6998,9.1027,20.8,-11.52,25.17,0.37,2.99,9.9999,0,ND,2,PGC5222
012249+094333,20.7055,9.7261,18.77,-13.55,24.84,0.81,6.51,9.9999,1,ND,2,PGC5222
012256+084024,20.7342,8.6735,18.95,-13.37,25.33,0.94,7.54,9.9999,0,ND,2,PGC5222
012257+090714,20.74,9.1207,15.59,-16.73,21.54,0.77,6.18,9.9999,1,ND,2,PGC5222
012303+090606,20.7647,9.1018,19.27,-13.05,24.89,0.66,5.3,9.9999,0,ND,2,PGC5222
012303+092101,20.7649,9.3503,21.09,-11.24,27.15,0.81,6.5,9.9999,0,ND,2,PGC5222
012312+085331,20.8015,8.892,17.47,-14.85,24.23,1.12,8.97,9.9999,1,ND,2,PGC5222
012323+090048,20.847,9.0136,19.45,-12.87,24.24,0.45,3.62,9.9999,1,ND,2,PGC5222
012325+094503,20.8546,9.751,20.89,-11.43,26.32,0.6,4.85,9.9999,0,ND,2,PGC5222
012337+045848,20.9061,4.98,20.39,-12.04,25.6,0.62,4.39,9.9999,0,ND,2,PGC4946
012350+094753,20.9595,9.7983,21.35,-10.97,25.53,0.34,2.74,9.9999,0,ND,2,PGC5222
012400+045441,21.0029,4.9115,20.32,-12.11,24.61,0.4,2.88,9.9999,0,ND,2,PGC4946
012410+091655,21.0431,9.282,19.3,-13.02,26.03,1.1,8.84,9.9999,1,ND,2,PGC5222
012412+050910,21.0541,5.1528,17.77,-14.66,25.75,2.23,15.72,9.9999,0,UD,2,PGC4946
012418+092908,21.0758,9.4857,19.73,-12.59,25.38,0.67,5.39,9.9999,0,ND,2,PGC5222
012422+092621,21.0951,9.4392,19.71,-12.61,23.89,0.34,2.74,9.9999,0,ND,2,PGC5222
012436+092813,21.1502,9.4703,16.45,-15.87,22.66,0.86,6.95,9.9999,1,ND,2,PGC5222
012453+091343,21.2223,9.2288,20.72,-11.6,25.92,0.54,4.37,9.9999,0,ND,2,PGC5222
012508+093628,21.2837,9.6078,18.47,-13.85,24.26,0.71,5.74,9.9999,1,ND,2,PGC5222
012526+093722,21.3586,9.6228,19.45,-12.87,25.49,0.8,6.45,9.9999,0,ND,2,PGC5222
012527+093109,21.3636,9.5192,15.98,-16.34,22.76,1.13,9.05,9.9999,1,ND,2,PGC5222
012527+093502,21.3663,9.5841,19.85,-12.47,24.6,0.44,3.55,9.9999,0,ND,2,PGC5222
012529+094339,21.3746,9.7277,17.1,-15.22,22.42,0.57,4.62,9.9999,1,ND,2,PGC5222
012531+093925,21.3794,9.6572,20.72,-11.6,25.78,0.51,4.1,9.9999,0,ND,2,PGC5222
012543+093318,21.4294,9.5552,20.52,-11.81,25.23,0.43,3.5,9.9999,0,ND,2,PGC5222
012543-080910,21.432,-8.1529,18.84,-12.8,26.82,1.52,15.76,9.9999,0,UD,2,PGC5663
012552+093738,21.4674,9.6274,20.65,-11.68,25.43,0.45,3.61,9.9999,1,ND,2,PGC5222
012610+093147,21.5454,9.5299,18.81,-13.51,25.41,1.04,8.35,9.9999,0,ND,2,PGC5222
012655+094605,21.7313,9.7681,21.15,-11.17,26.15,0.49,3.99,9.9999,0,ND,2,PGC5222
012851-065153,22.2126,-6.8649,19.3,-12.35,24.35,0.39,4.09,9.9999,0,ND,2,PGC5663
013014-224140,22.5616,-22.6946,19.03,-12.85,25.98,1.1,9.79,9.9999,0,ND,3,PGC5619
013022-225059,22.5939,-22.85,20.0,-11.88,24.92,0.43,3.84,9.9999,0,ND,3,PGC5619
013156-292053,22.984,-29.3482,17.55,-14.11,23.95,0.76,7.62,9.9999,0,ND,3,PGC5849
