name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
NGC247,NGC253,11.7834,-20.757,282.2,9.44,0.08,8.96,0.09,-18.31,-18.6,0.09,9.41,0.13,21.27,0.11,4278.3,199.3,False,True,1.0,gr,DECALS,nan,3.56,247.882667341282,23.4167054853767,11.888058,-25.2888,3.56,NGC0253,1.0
dw0047m2623,NGC253,11.8939,-26.3898,68.5,18.89,0.11,18.33,0.11,-8.86,-9.19,0.11,5.77,0.14,26.59,0.15,453.9,39.8,True,True,1.0,gr,DECALS,nan,3.56,26.2987626539984,27.9951512597008,11.888058,-25.2888,3.56,NGC0253,1.0
dw0049m2100,NGC253,12.4537,-21.0167,267.9,15.07,0.09,14.89,0.09,-12.69,-12.79,0.09,6.62,0.13,23.2,0.11,627.1,31.8,False,True,1.0,gr,DECALS,nan,3.56,36.3338928819334,24.8770343391702,11.888058,-25.2888,3.56,NGC0253,1.0
dw0050m2444,NGC253,12.5749,-24.7367,51.7,18.22,0.1,17.95,0.1,-9.53,-9.7,0.1,5.53,0.13,27.91,0.13,1539.2,115.0,True,True,1.0,gr,DECALS,nan,3.56,89.1805533687288,29.976825495914,11.888058,-25.2888,3.56,NGC0253,1.0
dw0055m2309,NGC253,13.7538,-23.1688,169.0,17.49,0.09,17.14,0.1,-10.26,-10.47,0.1,5.95,0.13,23.75,0.12,279.1,18.1,False,True,1.0,gr,DECALS,nan,3.56,16.1709290184322,25.5391495357475,11.888058,-25.2888,3.56,NGC0253,1.0
dw0036m2828,NGC253,9.1273,-28.4701,250.4,18.67,0.11,18.47,0.11,-9.08,-9.21,0.11,5.23,0.13,24.39,0.14,311.7,25.8,False,False,0.05,gr,DECALS,nan,3.56,18.059758410935,26.9590343635886,11.888058,-25.2888,3.56,NGC0253,1.0
dw0132p1422,NGC628,23.2486,14.3736,284.7,16.05,0.09,15.85,0.09,-13.9,-14.02,0.09,7.14,0.13,22.02,0.11,715.4,38.7,False,True,1.0,gr,DECALS,nan,9.77,15.1035662359715,23.9508722042075,24.17393801526,15.78364097564,9.77,NGC0628,1.0
dw0133p1543,NGC628,23.4842,15.7314,113.5,19.94,0.14,19.38,0.13,-10.01,-10.34,0.14,6.22,0.15,23.93,0.2,214.4,25.6,True,True,1.0,gr,DECALS,nan,9.77,4.52642522541234,25.2242514337789,24.17393801526,15.78364097564,9.77,NGC0628,1.0
dw0134p1544,NGC628,23.5537,15.7463,102.0,17.57,0.1,17.07,0.1,-12.38,-12.68,0.1,7.07,0.13,24.0,0.12,1078.1,65.9,True,True,1.0,gr,DECALS,nan,9.77,22.7609095918528,26.3614227504096,24.17393801526,15.78364097564,9.77,NGC0628,1.0
dw0134p1438,NGC628,23.6741,14.6444,210.9,17.06,0.09,16.86,0.1,-12.89,-13.01,0.09,6.74,0.13,21.73,0.12,497.9,30.2,False,True,1.0,gr,DECALS,nan,9.77,10.5116936480574,24.1738381585212,24.17393801526,15.78364097564,9.77,NGC0628,1.0
