,ID,ra,dec,re
0,033311-353956,53.2955416666667,-35.6656027777778,8.95
1,033331-352654,53.380875,-35.4483333333333,2.427
2,033342-351001,53.4265,-35.1670666666667,1.767
3,033347-350407,53.4465,-35.0685472222222,1.97
4,033356-350949,53.4847083333333,-35.1636472222222,1.531
5,033400-354533,53.4989583333333,-35.7592388888889,5.707
6,033412-354401,53.5503333333333,-35.7336583333333,1.996
7,033415-353341,53.5644583333333,-35.5612583333333,2.506
8,033422-353349,53.5906666666667,-35.5637027777778,1.176
9,033446-354239,53.6920416666667,-35.7108027777778,6.528
10,033452-355903,53.7179583333333,-35.98415,0.973
11,033456-352741,53.7327916666667,-35.4615055555556,2.217
12,033515-353012,53.8142083333333,-35.50345,5.184
13,033526-361108,53.8572916666667,-36.1854388888889,0
14,033538-350539,53.908875,-35.0942388888889,2.067
15,033543-355051,53.9294166666667,-35.8475861111111,5.499
16,033550-354229,53.9565,-35.7080222222222,1.089
17,033552-345517,53.9662083333333,-34.9214388888889,1.633
18,033556-351740,53.983,-35.2944583333333,0
19,033605-362009,54.0189166666667,-36.3359,7.161
20,033609-353903,54.0392916666667,-35.6509194444444,1.92
21,033612-350333,54.048375,-35.0592472222222,1.644
22,033624-355242,54.0995833333333,-35.8784361111111,1.915
23,033625-344447,54.1045,-34.74635,1.836
24,033627-353821,54.111,-35.6391638888889,2.343
25,033631-362248,54.1301666666667,-36.3800222222222,1.462
26,033633-360804,54.135625,-36.1343638888889,1.667
27,033644-360343,54.1824583333333,-36.0620222222222,1.846
28,033650-345655,54.2081666666667,-34.9485027777778,2.078
29,033652-360840,54.2178333333333,-36.1445083333333,1.804
30,033654-355541,54.2252916666667,-35.9280222222222,1.723
31,033706-352031,54.275,-35.342,0
32,033716-354701,54.3156666666667,-35.7836583333333,3.074
33,033720-353118,54.3328333333333,-35.5216,2.596
34,033750-353302,54.4577916666667,-35.5504388888889,3.232
35,033807-353531,54.5279166666667,-35.592,2.998
36,033808-360420,54.5313333333333,-36.0720916666667,4.108
37,033815-350722,54.5620416666667,-35.1228472222222,4.368
38,033823-354537,54.5955,-35.7603138888889,1.736
39,033825-360418,54.6039583333333,-36.0715972222222,1.412
40,033826-360545,54.6067083333333,-36.0957,1.233
41,033827-350907,54.6134583333333,-35.1520722222222,6.778
42,033842-352329,54.6737083333333,-35.3915,0
43,033858-351105,54.7399166666667,-35.1846583333333,7.764
44,033916-350021,54.816625,-35.0058777777778,2.722
45,033917-354645,54.8220833333333,-35.7792833333333,1.623
46,033922-353524,54.843625,-35.5900222222222,2.762
47,033946-361130,54.9422916666667,-36.1916583333333,1.362
48,033948-361111,54.95075,-36.1864944444444,5.797
49,033948-344624,54.950875,-34.7734388888889,1.51
50,034002-352930,55.00725,-35.4916277777778,1.37
51,034003-352920,55.0130416666667,-35.4889444444444,1.307
52,034003-362143,55.0130833333333,-36.361875,1.168
53,034007-343554,55.0287916666667,-34.5983611111111,1.654
54,034015-361608,55.0605,-36.2690222222222,1.623
55,034019-343233,55.0783333333333,-34.5424527777778,2.527
56,034044-353222,55.1816666666667,-35.539525,2.956
57,034058-361959,55.24225,-36.3329166666667,2.272
58,034106-353623,55.2760833333333,-35.6063638888889,2.733
59,034117-353854,55.3220833333333,-35.6482916666667,1.681
60,034123-350020,55.344,-35.0055833333333,3.785
61,034124-354548,55.3483333333333,-35.7633666666667,4.184
62,034146-353055,55.4437083333333,-35.5153611111111,6.835
63,034153-345251,55.4722083333333,-34.8809472222222,3.096
64,034157-355322,55.485625,-35.8894388888889,2.435
65,034218-352819,55.57425,-35.471925,3.293
66,034239-354551,55.6610833333333,-35.7641472222222,2.646
67,034253-353317,55.7202916666667,-35.5546,0
68,034300-353809,55.751875,-35.6357916666667,6.354
69,145,50.7771519444444,-38.5396875,6.78967884063374
70,588,52.3004694444444,-37.6807408333333,6.78967884063374
71,132,50.7361466666667,-37.2053530555556,6.78967884063374
72,91,50.419375,-37.2083330555556,6.78967884063374
73,137,50.7642402777778,-36.0951697222222,6.78967884063374
74,2229,57.7719613888889,-37.8110986111111,6.78967884063374
75,1506,55.3518563888889,-37.7701888888889,6.78967884063374
76,1120,54.2306208333333,-37.8251897222222,6.78967884063374
77,1783,56.2144247222222,-38.5625480555556,6.78967884063374
78,1778,56.2105375,-38.0130811111111,6.78967884063374
79,2010,56.9809388888889,-36.4686827777778,6.78967884063374
80,2305,58.1114044444444,-37.2205427777778,6.78967884063374
81,2114,57.3171536111111,-35.9719916666667,6.78967884063374
82,2067,57.1694825,-35.9111108333333,6.78967884063374
83,1969,56.8342780555556,-35.7791897222222,6.78967884063374
84,729,52.8834238888889,-38.0627133333333,6.78967884063374
85,1165,54.3842136111111,-34.7127047222222,6.78967884063374
86,452,51.8214436111111,-36.2416713888889,6.78967884063374
87,234,51.0409938888889,-35.6825958333333,6.78967884063374
88,513,52.0329241666667,-35.0441330555556,6.78967884063374
89,1002,53.8259263888889,-33.2182738888889,6.78967884063374
90,2238,57.8215375,-33.9437558333333,6.78967884063374
91,1319,54.8031144444444,-34.1176877777778,6.78967884063374
92,1484,55.3287772222222,-32.6655958333333,6.78967884063374
93,1351,54.9132066666667,-32.8253330555556,6.78967884063374
94,1593,55.6290491666667,-32.6706847222222,6.78967884063374
95,1123,54.2769638888889,-32.8080958333333,6.78967884063374
96,1175,54.4337772222222,-32.4309322222222,6.78967884063374
97,1455,55.2368283333333,-32.1499463888889,6.78967884063374
98,1425,55.1415430555555,-31.855675,6.78967884063374
99,1295,54.7265363888889,-31.9126397222222,6.78967884063374
100,1397,55.0439466666667,-31.8283422222222,6.78967884063374
101,1712,56.0223708333333,-31.9592,6.78967884063374
102,271,51.2088277777778,-34.6021077777778,6.78967884063374
103,325,51.4247705555556,-33.97653,6.78967884063374
104,171,50.8953244444444,-33.6173052777778,6.78967884063374
105,730,52.9189075,-32.8402963888889,6.78967884063374
106,726,52.9009963888889,-32.845505,6.78967884063374
107,717,52.8705630555556,-32.4778836111111,6.78967884063374
108,557,52.2229994444444,-32.4076130555556,6.78967884063374
109,419,51.7231538888889,-32.4793161111111,6.78967884063374
110,406,51.6937641666667,-32.0628116666667,6.78967884063374
111,15,48.8059552777778,-33.5373419444444,6.78967884063374
112,724,52.8973322222222,-32.1424283333333,6.78967884063374
113,663,52.6676361111111,-31.9326508333333,6.78967884063374
114,2,47.9010366666667,-32.4373894444444,6.78967884063374
115,1,47.8627747222222,-33.41726,6.78967884063374
116,2,48.9265119444444,-33.5411155555556,6.78967884063374
117,6,49.4721872222222,-35.6514697222222,6.78967884063374
118,7,49.6931116666667,-35.5456175,6.78967884063374
119,8,49.72597,-33.3257188888889,6.78967884063374
120,11,50.1059419444444,-34.5704725,6.78967884063374
121,15,50.4155297222222,-33.4532830555556,6.78967884063374
122,16,50.4309677777778,-35.9250305555556,6.78967884063374
123,17,50.5679566666667,-33.7171888888889,6.78967884063374
124,27,50.9823275,-34.8073661111111,6.8
125,30,51.0070655555556,-37.2244277777778,12.5
126,31,51.0737377777778,-35.2616041666667,8.5
127,32,51.2182758333333,-35.4340958333333,8.2
128,34,51.2593861111111,-35.2234158333333,8.5
129,36,51.3004633333333,-32.9013272222222,6.7
130,41,51.3991233333333,-32.9592011111111,9
131,42,51.4423641666667,-35.5082783333333,13.1
132,43,51.5096763888889,-32.8935086111111,21
133,64,51.9991869444444,-38.5393186111111,6.78967884063374
134,74,52.4241783333333,-31.9622697222222,4.2
135,80,52.5328880555555,-32.4738036111111,10.6
136,91,52.8291952777778,-32.0521641666667,12.5
137,122,53.4264919444444,-32.4233733333333,9.6
138,132,53.5757358333333,-35.7931561111111,5
139,141,53.7380402777778,-35.2051727777778,2.1
140,162,54.0302725,-35.4321533333333,6.78967884063374
141,169,54.1296188888889,-34.8008702777778,6.78967884063374
142,218,54.6886891666667,-35.2644688888889,7.6
143,224,54.8860977777778,-31.790215,14.2
144,232,55.0304236111111,-32.3177377777778,9
145,235,55.0383425,-35.6230819444444,36.3
146,240,55.1142041666667,-31.6838980555556,11.9
147,283,55.6636408333333,-38.2286633333333,6.78967884063374
148,317,56.7872811111111,-32.7725763888889,8.9
149,319,56.8174286111111,-32.3007491666667,14.8
150,320,56.8934041666667,-32.2532794444444,6.6
151,321,56.8914252777778,-35.9527572222222,12.2
152,336,57.7184516666667,-35.1705691666667,7.8
153,339,58.0123152777778,-37.8734763888889,10.4
154,340,58.3227988888889,-37.8325336111111,5.7
155,FDS10_LSB11,54.827,-34.937,1.4
156,FDS10_LSB12,54.696,-34.987,2.8
157,FDS10_LSB20,55.275,-34.145,2.4
158,FDS10_LSB30,54.943,-34.135,2.5
159,FDS10_LSB33,54.78,-34.061,2.6
160,FDS10_LSB34,54.723,-34.171,1.9
161,FDS10_LSB36,54.824,-34.306,2.2
162,FDS10_LSB37,54.761,-34.577,2.6
163,FDS10_LSB39,54.619,-34.69,1.9
164,FDS10_LSB54,54.118,-34.755,3.5
165,FDS11_LSB1 ,55.246,-35.697,116.4
166,FDS11_LSB2 ,55.148,-35.774,63.9
167,FDS11_LSB6 ,54.711,-35.725,5.2
168,FDS11_LSB7 ,54.035,-36,6.2
169,FDS11_LSB14,55.154,-35.356,10.7
170,FDS11_LSB15,55.22,-35.118,6.7
171,FDS11_LSB17,54.51,-35.281,75.7
172,FDS11_LSB39,55.305,-35.335,3.9
173,FDS11_LSB43,54.926,-35.469,4.3
174,FDS11_LSB44,54.463,-35.364,4.6
175,FDS11_LSB50,54.099,-35.523,2
176,FDS11_LSB51,54.17,-35.589,8.7
177,FDS11_LSB70,54.229,-35.944,2
178,FDS12_LSB28,54.605,-36.89,4.2
179,FDS12_LSB31,54.638,-36.441,4.3
180,FDS12_LSB44,54.011,-36.354,2.2
181,FDS12_LSB47,54.072,-36.082,4
182,FDS12_LSB52,55.192,-36.075,5.4
183,FDS12_LSB55,54.191,-35.924,3
184,FDS16_LSB6 ,54.055,-35.224,3.6
185,FDS16_LSB24,53.713,-35.872,3.8
186,FDS16_LSB40,53.613,-35.106,4.9
187,FDS16_LSB52,53.458,-35.951,6.4
188,032607-350744,51.5309583333333,-35.1288611111111,8.693
189,032611-345432,51.5474166666667,-34.90875,2.865
190,032629-350414,51.6225416666667,-35.0706666666667,3.615
191,032638-364843,51.6594166666667,-36.8119166666667,3.053
192,032651-343914,51.7109166666667,-34.6538888888889,3.297
193,032721-342323,51.8367083333333,-34.3896111111111,2.508
194,032727-364354,51.8609583333333,-36.7316111111111,2.298
195,032743-354337,51.9275,-35.7268055555556,4.711
196,032748-345229,51.948,-34.8746666666667,4.337
197,032753-345036,51.9698333333333,-34.8434166666667,2.292
198,032801-364954,52.0059583333333,-36.8316944444444,4.132
199,032824-353616,52.1007916666667,-35.6043611111111,5.664
200,032841-352939,52.1707916666667,-35.4942777777778,4.774
201,032843-351517,52.180375,-35.2548055555556,4.416
202,032847-363709,52.197125,-36.6191944444444,7.035
203,032858-370551,52.2400416666667,-37.0974166666667,2.63
204,032921-370859,52.3366666666667,-37.1496666666667,1.829
205,032922-342924,52.34125,-34.49,8.386
206,032932-365104,52.3844583333333,-36.8509722222222,4.075
207,032945-360323,52.4370416666667,-36.0563888888889,9.485
208,032959-350215,52.496375,-35.0375,8.556
209,033028-340627,52.618125,-34.1075,3.762
210,033034-350630,52.6428333333333,-35.1084166666667,4.46
211,033053-353218,52.7209583333333,-35.5382222222222,6.032
212,033057-354222,52.7378333333333,-35.7060833333333,3.575
213,033105-340842,52.772,-34.1448611111111,6.224
214,033125-351952,52.853625,-35.3311666666667,10.811
215,033146-361644,52.9407916666667,-36.2789444444444,3.26
216,033228-350645,53.1177916666667,-35.1125,3.269
217,033239-373918,53.1612083333333,-37.6550555555556,5.117
218,033329-350736,53.3692916666667,-35.1265833333333,6.236
219,033331-351621,53.379,-35.2725833333333,2.422
220,033344-332242,53.4352083333333,-33.3783055555556,3.625
221,033354-342559,53.474875,-34.4329444444444,3.151
222,033358-363548,53.4925416666667,-36.5966666666667,3.719
223,033431-325308,53.6279166666667,-32.8856666666667,6.014
224,033433-325003,53.6377916666667,-32.8341388888889,10.244
225,033438-364801,53.65925,-36.8001944444444,2.073
226,033513-343235,53.801875,-34.543,6.644
227,033514-362321,53.8077916666667,-36.3891944444444,3.846
228,033538-341717,53.9075,-34.2879722222222,13.49
229,033606-333333,54.0237083333333,-33.5591388888889,5.134
230,033608-372618,54.0342083333333,-37.4384166666667,3.786
231,033610-340453,54.0434166666667,-34.0814722222222,3.716
232,033612-325233,54.0495416666667,-32.8759444444444,6.002
233,033623-342043,54.0955,-34.3453611111111,13.25
234,033633-374046,54.135625,-37.6793333333333,4.734
235,033658-380754,54.2433333333333,-38.1316388888889,10.575
236,033730-341329,54.3744166666667,-34.2245833333333,3.313
237,033731-364640,54.3795833333333,-36.7778888888889,2.282
238,033807-380534,54.5309166666667,-38.0926388888889,11.463
239,033814-330738,54.5564583333333,-33.1273333333333,18.46
240,033827-364424,54.6140416666667,-36.74,9.889
241,033907-342246,54.7786666666667,-34.3794722222222,3.661
242,033915-342325,54.8103333333333,-34.3903611111111,2.465
243,033915-341113,54.813375,-34.1869166666667,3.412
244,033921-340503,54.8369583333333,-34.0840833333333,2.414
245,033921-380411,54.8379583333333,-38.0696111111111,4.016
