ID,HostETG,Dist,f_Dist,Distl,r_Distl,RAdeg,DEdeg,gmag,g-i,g-r,n,n_n,Re,b/a,PA,mu0g,<mueg>,Morph,field1,field2,field3,host_ra,host_dec,host_Vhel,host_D,host_Mk,host_Ab,host_logRe,iso_clean,main_field,r_fov_arcsec
MATLAS-1,NGC0448,29.5,1,0.0, ,18.2998,-2.0792,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-2,NGC0448,29.5,1,0.0, ,18.3236,-1.1708,19.9,0.71,0.0,1.21, ,3.81,0.45,1.35,23.26,24.05,dE  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-3,NGC0448,29.5,1,0.0, ,18.3396,-1.8231,20.44,0.0,0.0,0.61,*,4.54,0.52,85.42,24.18,24.96,dI  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-4,NGC0448,29.5,1,0.0, ,18.4198,-1.9169,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-5,NGC0448,29.5,1,0.0, ,18.6778,-1.0972,20.55,0.72,0.5,1.33, ,3.52,0.75,38.52,23.74,24.52,dE  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-6,NGC0448,29.5,1,0.0, ,18.6875,-1.2415,19.95,0.58,0.0,0.69, ,3.88,0.75,46.88,23.35,24.14,dE  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-7,NGC0448,29.5,1,28.96,a,18.7193,-1.0953,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dE  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-8,NGC0448,29.5,1,0.0, ,18.7567,-1.4806,19.63,1.26,0.75,0.57, ,8.75,0.78,48.37,24.79,25.58,dEN ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-9,NGC0448,29.5,1,0.0, ,18.7782,-1.2741,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dIN ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-10,NGC0448,29.5,1,0.0, ,18.7949,-1.4718,17.27,0.0,0.0,1.09, ,4.45,0.82,31.35,20.98,21.76,dEN ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
MATLAS-11,NGC0448,29.5,1,80.88,a,18.7967,-1.1504,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC0448,,,18.818876,-1.626105,1908.0,29.5,-23.02,0.26,1.05,1.0,NGC0448,1875.8273908148556
