host,ID,ra,dec,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID,tile,x,y,bands,n_bands,cutout,class_label,zspec,lens,lsb
UGC04906,NSA-648311,139.1897,53.4429,296.0,-45.0,14.42,-18.4,0.21,19.47,8.84,Y,SDSS,nsa16235,648311.0,"(166, 287)",9012.86695414017,3903.240240462025,gri,3,1,2.0,0.007464837282896042,,
UGC04906,NSA-78956,139.4444,53.2935,189.0,-22.0,15.39,-17.4,0.29,22.33,8.54,Y,SDSS,nsa16235,78956.0,"(166, 287)",6076.747812265074,998.9269385483763,gri,3,1,2.0,0.02885662578046322,,
NGC5602,NSA-208848,215.4049,50.3903,93.0,75.0,14.14,-18.5,0.69,20.35,9.43,Y,SDSS,nsa144953,208848.0,"(274, 281)",4720.9662399128665,2874.1674512634436,gri,3,1,2.0,0.00770263746380806,,
NGC5602,NSA-208508,215.459,50.3884,80.0,169.0,16.52,-16.2,0.36,22.34,8.1,Y,SDSS,nsa144953,208508.0,"(274, 281)",4052.513634475398,2837.79338273194,gri,3,1,2.0,0.007923370227217674,,1.0
NGC5602,1.23765911932312E+018,215.4408,50.5062,52.0,-65.0,17.53,-15.1,0.38,22.91,7.73,Y,MMT,nsa144953,1.23765911932312e+18,"(274, 281)",4279.18476966583,5120.433469327031,gri,3,1,2.0,0.048124998807907104,,1.0
NGC5602,LS-587209-635,215.534,50.6674,100.0,-180.0,18.32,-14.4,0.52,25.73,7.56,N,MMT,nsa144953,5.87209e+18,"(274, 281)",3136.8833990400444,8245.95531974532,gri,3,1,,,,
NGC5448,LS-582565-481,210.8297,49.4151,149.0,17.0,18.18,-14.5,0.33,25.29,7.39,Y,MMT,nsa69028,5.82565e+18,"(274, 279)",6495.988553252435,3355.901222503707,gri,3,1,,,,
NGC5448,NSA-339134,210.87,48.9655,136.0,-18.0,16.79,-15.8,0.47,23.45,8.1,Y,SDSS,nsa69028,339134.0,"(277, 278)",8041.360236608933,4336.21154965927,gri,3,1,,,,
NGC5602,NSA-208516,214.8035,50.4409,295.0,0.0,17.5,-15.2,0.39,23.26,7.75,Y,SDSS,nsa144953,208516.0,"(273, 281)",2442.1122997085295,3858.2695097385426,gri,3,1,,,,
NGC5297,NSA-265851,207.0967,43.7087,245.0,-139.0,14.96,-17.8,0.31,21.73,8.72,Y,SDSS,nsa143856,265851.0,"(300, 267)",700.398383333144,9052.36536979984,gri,3,1,,,,
