tile,bands,u_n_valid_pixels,u_sum_pixel_values,u_sum_pixel_values_squared,u_min,u_max,u_frac_zeros,u_kurtosis,g_n_valid_pixels,g_sum_pixel_values,g_sum_pixel_values_squared,g_min,g_max,g_frac_zeros,g_kurtosis,r_n_valid_pixels,r_sum_pixel_values,r_sum_pixel_values_squared,r_min,r_max,r_frac_zeros,r_kurtosis,i_n_valid_pixels,i_sum_pixel_values,i_sum_pixel_values_squared,i_min,i_max,i_frac_zeros,i_kurtosis,z_n_valid_pixels,z_sum_pixel_values,z_sum_pixel_values_squared,z_min,z_max,z_frac_zeros,z_kurtosis
"(285, 281)",ugriz,100000000.0,85706222.45128787,906859270851.1841,-233.77020263671875,32827.12890625,9.45e-06,77141.8379968763,100000000.0,5308513.610034608,638367112.6102319,-8.072272300720215,1479.0118408203125,0.0,35215.69981054741,100000000.0,213590503.65070534,1092709037669.7891,-2065.116943359375,14711.0673828125,1.131e-05,6192.302455975529,100000000.0,16813879592.379728,8483547100411351.0,-127575.296875,648993.0,0.0,3107.2030007199073,100000000.0,16646901.504768161,3430533686.125281,-34.32745361328125,2424.576171875,0.0,20460.013198376593
"(184, 315)",ugriz,100000000.0,289674440.1117322,6584991086492.714,-6480.736328125,43044.15625,9.81e-05,17728.2787107141,100000000.0,10928524.20083625,1336228494.0113654,-12.374350547790527,1389.419677734375,0.0,13907.535967784974,100000000.0,567592938.6532422,3157906776057.039,-2140.34716796875,13526.5146484375,2.82e-06,2472.3767908199356,100000000.0,39361565537.850716,1.7633138179018502e+16,-136930.25,629438.0,0.0,1157.2420183709933,100000000.0,20129839.982914772,4465544591.2812195,-28.363271713256836,2439.8720703125,0.0,15970.846609263193
"(183, 270)",ugriz,100000000.0,118999591.96888486,1360545103498.266,-4207.16015625,40826.7734375,5.35e-06,66302.44667063044,100000000.0,6282303.610115512,669336569.0992353,-29.255905151367188,1299.04052734375,1e-08,32639.251979850123,100000000.0,273670392.29023427,1573708056903.5762,-1989.1739501953125,11970.4111328125,0.00052128,4245.919614111526,100000000.0,44071192795.06234,5.185612856077134e+16,-389739.0625,1713028.75,0.0,2728.4296062229096,100000000.0,14805055.513360986,2561772638.691881,-13.239871978759766,2243.6845703125,1e-08,30732.065389716667
"(150, 322)",ugriz,100000000.0,160450940.80275744,2576912672647.4434,-3581.086669921875,48178.76953125,0.00191587,43884.69937233222,100000000.0,8642987.025700064,914350252.179422,-18.38109588623047,1200.05908203125,0.0,21372.36697180289,100000000.0,399935113.656512,2079325617475.5063,-2116.6455078125,14167.7939453125,0.0021961,2703.1440892732735,100000000.0,39478835562.50281,1.6359495059960488e+16,-131634.171875,593690.5,0.0,1068.157858071763,100000000.0,17887942.060324185,3246493731.5738587,-28.7994327545166,2162.432861328125,0.0,22420.793004214524
"(175, 266)",ugriz,100000000.0,417945842.9185984,2415539710824.264,-4937.5556640625,40943.75390625,0.036059,25824.14199196828,100000000.0,7962809.3412089115,1034447082.7337081,-109.38400268554688,1613.5780029296875,0.0,23770.766277015256,100000000.0,361885151.34777063,1864381323657.6287,-1894.0205078125,10883.517578125,3.75e-06,2653.4818414250453,100000000.0,46739315640.81115,3.4324418023327744e+16,-266733.5625,1218917.375,0.0,1632.2550836634227,100000000.0,18286517.67419578,4233532791.4426622,-35.60615158081055,2390.4658203125,0.0,19565.46197175474
"(153, 327)",ugriz,100000000.0,179370085.46096367,2090221884606.7795,-1894.5628662109375,44732.171875,0.00069982,50537.278199588276,100000000.0,10879648.320698787,2191620183.390138,-20.78812599182129,1620.8443603515625,0.0,20614.785542463225,100000000.0,399084493.407865,2114442495373.159,-1885.6575927734375,11927.5078125,0.00122206,2361.9714042907963,100000000.0,29497048062.098854,1.2967159755677756e+16,-151768.0,669596.875,0.0,1557.6906078801328,100000000.0,25201232.585943475,6428559192.585895,-43.090087890625,2501.35498046875,0.0,14346.467252766346
"(361, 276)",ugriz,100000000.0,247931720.02887514,4799522266199.199,-2830.553466796875,54353.22265625,1.131e-05,36855.57396073592,100000000.0,17528659.616183616,3431296437.7402754,-22.779401779174805,1732.8526611328125,0.0,14148.068430788151,100000000.0,644189500.4975834,4261946083547.5767,-2375.13330078125,13890.2470703125,2.168e-05,2218.97261825124,100000000.0,46503524011.48499,1.6427899635937288e+16,-104049.1171875,513844.625,0.00717688,782.356717866287,100000000.0,28874817.132289506,6263622235.523255,-13.184536933898926,2194.954833984375,0.0,12632.16059164662
"(144, 278)",ugriz,100000000.0,315143717.35034657,1489952696951.3423,-2132.0966796875,44568.6796875,0.31205425,39945.698827181455,100000000.0,-1237606637495.602,8.078715892536629e+16,-176321.546875,1046.1246337890625,0.0,8.428047228287301,100000000.0,542984168.7617042,4134525426586.665,-2421.42626953125,13623.0078125,0.08712433,2309.6508863762883,100000000.0,84274373440.96208,8.203480019591814e+16,-373418.65625,1394074.5,0.0,1198.8443432278382,100000000.0,-192583178798.87067,4081410223918325.0,-58778.4921875,2293.074951171875,0.0,22.430895734032305
"(154, 328)",ugriz,100000000.0,485851507.1370247,2852392190496.8438,-4006.995849609375,46225.6171875,0.14994105,30992.198372304192,100000000.0,12893930.1902696,2154144130.512431,-10.50214672088623,1531.185302734375,0.0,18301.68205800431,100000000.0,512209127.0854801,2106835147149.311,-1781.40283203125,12740.1572265625,7.55e-06,2037.3764117726166,100000000.0,33025948235.649796,9711082507508480.0,-102320.234375,593303.4375,0.00599732,986.0113194563545,100000000.0,29647309.066147074,6608941362.745857,-182.75289916992188,2336.905029296875,0.0,12177.751701912919
"(201, 260)",ugriz,100000000.0,127303175.48993185,1648554185988.4377,-618.3388671875,42462.18359375,0.00015096,69299.63199710331,100000000.0,12304030.889061375,558779541.9106729,-8.515945434570312,1411.873291015625,0.0,57627.41936354909,100000000.0,332274839.45650125,1552807906069.1108,-1536.36669921875,13791.40625,1.938e-05,3366.8100374640862,100000000.0,57776677612.30874,5.273986028515155e+16,-262764.6875,1451292.25,0.0,1661.2812582729578,100000000.0,15332093.400974466,3370426838.1887827,-9.738594055175781,2668.01220703125,0.0,26983.242197689262
